売上日,伝票番号,得意先名,得意先コード,商品名,商品コード,数量,単価,売上金額,粗利額,粗利率,担当者,地域,備考
2024/04/01,S20240401-001,株式会社〇〇商事,C001,製品A,P001,100,5000,500000,150000,30,山田,東京,
2024/04/02,S20240402-001,△△工業株式会社,C002,製品B,P002,50,8000,400000,100000,25,佐藤,大阪,
2024/04/03,S20240403-001,株式会社〇〇商事,C001,製品C,P003,30,12000,360000,90000,25,山田,東京,
2024/04/05,S20240405-001,××建設株式会社,C003,製品A,P001,80,5000,400000,120000,30,鈴木,愛知,
2024/04/08,S20240408-001,株式会社□□,C004,製品B,P002,25,8000,200000,50000,25,高橋,福岡,新規顧客
2024/04/10,S20240410-001,◇◇株式会社,C005,製品A,P001,150,4800,720000,210000,29,山田,東京,数量割引
2024/04/12,S20240412-001,△△工業株式会社,C002,製品C,P003,20,12000,240000,60000,25,佐藤,大阪,
2024/04/15,S20240415-001,株式会社〇〇商事,C001,サービスX,SV01,1,300000,300000,180000,60,山田,東京,保守契約
2024/04/18,S20240418-001,××建設株式会社,C003,製品B,P002,40,8000,320000,80000,25,鈴木,愛知,
2024/04/22,S20240422-001,◇◇株式会社,C005,製品C,P003,35,11500,402500,97500,24,山田,東京,
